,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11605,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19726868.0,19726868.0,False,,1,,,,2024-07-17T12:54:00.000Z,64786.45630699395,37628968288.61552,-7.3542,0.12969211,1.54557589,11.68741541,-1.12953916,-3.4738303,4.20325226,1278033871755.8372,53.7259,1360515582446.87,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:55:15.715967
1,1027,Ethereum,ETH,ethereum,9144,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120221218.02997445,120221218.02997445,True,,2,,,,2024-07-17T12:53:00.000Z,3458.396205861301,19012318456.82156,-4.2399,0.20426017,1.29236114,11.6559564,-1.87630954,10.66430155,14.46380112,415772604298.8879,17.4747,415772604298.89,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
2,825,Tether USDt,USDT,tether,91763,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,113224555138.6441,117072162581.7876,True,,3,,,,2024-07-17T12:53:00.000Z,1.000234379629467,69882179740.99902,-5.6725,-0.00672674,-0.08506243,0.03521767,0.10512377,-0.0129868,-0.0221901,113251092667.92407,4.7599,117099601911.87,,2024-07-17T12:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-17 13:55:15.715967
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582066.93925807,147582066.93925807,False,,4,,,,2024-07-17T12:53:00.000Z,576.5725888463173,1871913204.6679633,-9.1952,0.15793783,0.82296558,9.61659152,-3.73761483,-0.2117571,6.46081463,85091774402.45853,3.5764,85091774402.46,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
4,5426,Solana,SOL,solana,705,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464175374.38379145,580286891.7144549,True,,5,,,,2024-07-17T12:53:00.000Z,160.90280870362145,2634010256.4546113,-7.5994,-0.01623105,2.7337887,13.72361189,12.18382097,-7.37294365,21.01604926,74687121469.40706,3.1391,93369790730.75,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
5,52,XRP,XRP,xrp,1354,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,6,,,,2024-07-17T12:54:00.000Z,0.624891462188211,3805650807.744229,63.6628,1.77878736,14.24685422,42.61324279,24.26217389,19.49760429,27.26148495,34872280181.19246,1.4657,62489146218.82,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:55:15.715967
6,3408,USDC,USDC,usd-coin,21018,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33912630612.87038,33912630612.87038,False,,7,,,,2024-07-17T12:53:00.000Z,1.0000379130900865,7260646435.823315,-7.6206,-0.00024053,-0.04501499,0.00806876,-0.00331617,0.00582815,-0.00408203,33913916345.489876,1.4257,33913916345.49,,2024-07-17T12:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-17 13:55:15.715967
7,11419,Toncoin,TON,toncoin,462,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2512028248.7069774,5109101232.189482,True,,8,3414166606.0,24686819933.231712,,2024-07-17T12:53:00.000Z,7.23070159782112,254145271.73630437,-10.796,0.14695349,-1.81889071,-0.89002241,-7.20656685,12.11108406,18.56430586,18163726671.69733,0.7634,36942386443.02,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
8,74,Dogecoin,DOGE,dogecoin,1025,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145152436383.70526,145152436383.70526,True,,9,,,,2024-07-17T12:54:00.000Z,0.124747778429425,811532446.7671956,-22.9595,0.38532849,1.74271747,14.69601025,-7.13430893,-19.36646088,-14.64561158,18107443972.485672,0.761,18107443972.49,,2024-07-17T12:54:00.000Z,,,,,,2024-07-17 13:55:15.715967
9,2010,Cardano,ADA,cardano,1213,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35886546243.486,37048613783.371,False,,10,,,,2024-07-17T12:53:00.000Z,0.44815803867202353,420839426.14966875,-12.5856,0.53684641,3.68674663,16.88775925,10.90671301,-6.66554708,0.45862974,16082844179.19356,0.6763,20167111740.24,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
10,1958,TRON,TRX,tron,1001,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87107257679.39662,87107344619.87744,True,,11,71659659264.0,9636656163.414211,,2024-07-17T12:53:00.000Z,0.13447811868476778,311774977.87392867,-30.6129,-0.13844035,0.64318486,3.2789197,15.12051279,8.6623665,24.26167951,11714020136.51455,0.4923,11714031828.11,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
11,5994,Shiba Inu,SHIB,shiba-inu,846,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270743113993.8,589519212467867.4,False,,12,,,,2024-07-17T12:53:00.000Z,1.925031535013611e-05,479180555.47291154,-33.3151,-0.43530385,-0.09680583,16.81290984,-3.12254973,-22.5523013,-12.79929724,11343647631.553427,0.4768,11348430744.97,,2024-07-17T12:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-17 13:55:15.715967
12,5805,Avalanche,AVAX,avalanche,752,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394688286.06309676,444034656.06309676,False,,13,,,,2024-07-17T12:53:00.000Z,28.18333152820076,446461191.4686126,7.63,0.03842742,3.59534375,5.84619334,-1.73484486,-24.42914471,-17.66944841,11123630816.413595,0.4675,20172183438.46,,2024-07-17T12:53:00.000Z,,,,,,2024-07-17 13:55:15.715967
